Type,Sub-Type,Detail
Bad Practice,"""Thread.run()"" should not be called directly",Call the method Thread.start() to execute the content of the run() method in a dedicated thread.
Bad Practice,"A ""Set<Class>"" cannot contain a ""Class""","A ""Set<Class>"" cannot contain a ""Class"""
Bad Practice,Abstraction Violation,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
Bad Practice,Abstraction Violation,Catch Exception instead of Throwable.
Bad Practice,Abstraction Violation,Define and throw a dedicated exception instead of using a generic one.
Bad Practice,Abstraction Violation,"Prefix this call to ""getPane"" with ""super.""."
Bad Practice,Abstraction Violation,"Prefix this call to ""getTimestamp"" with ""super.""."
Bad Practice,Abstraction Violation,"Prefix this call to ""getValue"" with ""super.""."
Bad Practice,Abstraction Violation,"Replace the usage of the ""instanceof"" operator by a catch block."
Bad Practice,Abstraction Violation,"The return type of this method should be an interface such as ""List"" rather than the implementation ""ArrayList""."
Bad Practice,Abstraction Violation,"The type of the ""evaluatorQueue"" object should be an interface such as ""Queue"" rather than the implementation ""ConcurrentLinkedQueue""."
Bad Practice,Abstraction Violation,"This class overrides ""equals()"" and should therefore also override ""hashCode()""."
Anti-Pattern,Anti-Singleton,Anti-singleton
Bad Practice,Casting Issue,"Cast one of the operands of this addition operation to a ""long""."
Bad Practice,Casting Issue,"Cast one of the operands of this division operation to a ""double""."
Bad Practice,Casting Issue,"Cast one of the operands of this multiplication operation to a ""long""."
Bad Practice,Casting Issue,"Cast one of the operands of this subtraction operation to a ""double""."
Bad Practice,Casting Issue,"Cast one of the operands of this subtraction operation to a ""long""."
Bad Practice,Classes should not be compared by name,"Remove this object instantiation and use ""EmbeddedDoFn.class"" instead."
Bad Practice,Classes should not be compared by name,"Remove this object instantiation and use ""MyGenericClass.class"" instead."
Bad Practice,Classes should not be compared by name,"Remove this object instantiation and use ""Object.class"" instead."
Bad Practice,Classes should not be compared by name,"Use an ""instanceof"" comparison instead."
Bad Practice,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""",Use super.clone() to create and seed the cloned instance to be returned.
Code Smell,Code Duplication,1 duplicated blocks of code must be removed.
Code Smell,Code Duplication,10 duplicated blocks of code must be removed.
Code Smell,Code Duplication,11 duplicated blocks of code must be removed.
Code Smell,Code Duplication,15 duplicated blocks of code must be removed.
Code Smell,Code Duplication,16 duplicated blocks of code must be removed.
Code Smell,Code Duplication,2 duplicated blocks of code must be removed.
Code Smell,Code Duplication,3 duplicated blocks of code must be removed.
Code Smell,Code Duplication,4 duplicated blocks of code must be removed.
Code Smell,Code Duplication,5 duplicated blocks of code must be removed.
Code Smell,Code Duplication,6 duplicated blocks of code must be removed.
Code Smell,Code Duplication,7 duplicated blocks of code must be removed.
Code Smell,Code Duplication,8 duplicated blocks of code must be removed.
Code Smell,Code Duplication,9 duplicated blocks of code must be removed.
Code Smell,Comments,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation."
Code Smell,Comments,Add the missing @deprecated Javadoc tag.
Code Smell,Complex Class,Complex class
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 203 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 208 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 211 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 220 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 245 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 246 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 248 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 250 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 257 which is greater than 200 authorized.
Code Smell,Complex Class,The Cyclomatic Complexity of this class is 279 which is greater than 200 authorized.
Bad Practice,Complex Expression,Directly append the argument of String.valueOf().
Bad Practice,Complex Expression,Extract the assignment out of this expression.
Bad Practice,Complex Expression,Reduce the number of conditional operators (4) used in the expression (maximum allowed 3).
Bad Practice,Complex Expression,Reduce the number of conditional operators (5) used in the expression (maximum allowed 3).
Bad Practice,Complex Expression,Reduce the number of conditional operators (6) used in the expression (maximum allowed 3).
Bad Practice,Complex Expression,Reduce the number of conditional operators (7) used in the expression (maximum allowed 3).
Bad Practice,Complex Expression,Reduce the number of conditional operators (9) used in the expression (maximum allowed 3).
Code Smell,Complex Method,Extract this nested code block into a method.
Code Smell,Complex Method,Extract this nested try block into a separate method.
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""addExposedTypes"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""advance"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""apply"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""apply"" is 17 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""assertSplitAtFractionExhaustive"" is 14 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""buildCounters"" is 14 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""buildStatus"" is 15 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""checkForSuccess"" is 13 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""checkIndexedRecord"" is 21 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""consumeResponse"" is 17 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""create"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""create"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""createFromSystemProperties"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""createFromSystemProperties"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""createStreamExecutionEnvironment"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""decodeState"" is 21 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""describePane"" is 16 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""dispatchLoop"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""doCheck"" is 16 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""doCheck"" is 17 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""doWork"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""expand"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""extend"" is 16 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""extractCounter"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""extractCounter"" is 13 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""fetch"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""fromOptions"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""fromOptions"" is 13 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""getDefault"" is 14 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""getDefaultOutputCoder"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""getDefaultValueFromAnnotation"" is 14 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""getDoFnInfo"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""getFirstOccurenceOfRecordElement"" is 16 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""globToRegexp"" is 15 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""initCoder"" is 11 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""insertAll"" is 17 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""insertAll"" is 18 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""insertAll"" is 19 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""invoke"" is 18 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""invoke"" is 21 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""mergeWatermarks"" is 12 which is greater than 10 authorized."
Code Smell,Complex Method,"The Cyclomatic Complexity of this method ""onTimer"" is 11 which is greater than 10 authorized."
